review:quiz,view:course,#SUP:1715 53%
view:course,view:url,view:course,#SUP:1705 53%
idle,view:course,view forum:forum,add post:forum,#SUP:1665 52%
idle,view:course,view forum:forum,view:user,#SUP:1694 52%
view:course,view:quiz,view:course,view forum:forum,#SUP:1656 51%
view:course,view:page,view:course,view:course,#SUP:1640 51%
view:user,view:course,view forum:forum,view discussion:forum,#SUP:1682 52%
view:assign,view:course,view forum:forum,view discussion:forum,#SUP:1638 51%
idle,view:course,view:course,view:course,view:user,#SUP:1637 51%
idle,view:course,view:assign,view:course,view forum:forum,#SUP:1641 51%
continue attempt:quiz,view summary:quiz,close attempt:quiz,review:quiz,view:quiz,#SUP:1634 51%
idle,view:course,view:course,view:course,view:course,view:quiz,#SUP:1708 53%
view:course,view forum:forum,view:user,view:course,view:course,view:course,#SUP:1665 52%
view:user,view:course,view:course,view:course,view:course,view:course,#SUP:1696 52%
view:course,view:course,view:quiz,attempt:quiz,continue attempt:quiz,view summary:quiz,close attempt:quiz,#SUP:1658 51%
view:course,view:course,view:course,view:course,view:quiz,attempt:quiz,continue attempt:quiz,#SUP:1672 52%
view:course,view:course,view:course,view:course,view:course,view:course,view:quiz,#SUP:1695 52%
view:course,view:assign,view:course,view:course,view:course,view:resource,view:course,#SUP:1641 51%
view:course,view forum:forum,view discussion:forum,view:course,view forum:forum,view discussion:forum,add post:forum,view discussion:forum,#SUP:1672 52%
view:course,view forum:forum,view:course,view:course,view:assign,view:course,view:course,view:course,#SUP:1642 51%
idle,idle,idle,idle,idle,view:course,view:resource,view:course,view forum:forum,#SUP:1646 51%
view:course,idle,view:course,view:course,view:course,view:assign,view:course,view:course,view:course,#SUP:1635 51%
view:course,view:course,view:course,view:course,view:course,view:assign,view submit assignment form:assign,submit:assign,view:assign,#SUP:1636 51%
view:course,view:resource,view:course,view:course,view:course,view:course,view forum:forum,view discussion:forum,view:course,#SUP:1649 51%
view:course,view forum:forum,view:course,view:course,view:resource,view:course,view:course,view:course,view:course,view:course,#SUP:1645 51%
idle,idle,idle,idle,idle,idle,idle,idle,idle,view:course,view:folder,#SUP:1656 51%
view:course,view:course,view:course,view:assign,view:course,view:course,view:course,view:course,view:course,view:course,view:course,#SUP:1643 51%
idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,view:course,view forum:forum,view discussion:forum,#SUP:1681 52%
view forum:forum,view discussion:forum,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,#SUP:1666 52%
view discussion:forum,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,#SUP:1651 51%
idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,view:course,view:resource,#SUP:1654 51%
idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,view:course,view forum:forum,#SUP:1638 51%
idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,view:course,#SUP:1648 51%
idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,#SUP:1650 51%
